매물번호,보증금,월세,층,위도,경도,주소,지하철역_거리(m),세탁소_거리(m),카페_거리(m),약국_거리(m),대형마트_거리(m),편의점_거리(m),버스정류장_거리(m)
47569048,100,20,2,35.839984278048,128.752821423437,경상북도 경산시 조영동,412,114,89,281,1744,85,152
47569037,200,28,4,35.8382044997829,128.754782238973,경상북도 경산시 조영동,276,130,20,24,1831,118,154
47569018,100,20,2,35.8381154476728,128.754728152999,경상북도 경산시 조영동,265,139,21,31,1824,107,143
47569015,200,28,3,35.8388961375337,128.754243691486,경상북도 경산시 조영동,317,58,42,105,1812,73,215
47568987,200,33,3,35.8407644449356,128.756654522964,경상북도 경산시 조영동,605,167,62,119,2093,75,140
47568985,200,29,2,35.838730296104,128.755171531912,경상북도 경산시 조영동,343,89,34,58,1884,117,222
47567041,300,31,3,35.841507849885105,128.7583561188615,경상북도 경산시 압량읍 부적리,764,155,92,145,2267,36,60
47566397,100,20,3,35.8385547521831,128.7537958261,경상북도 경산시 조영동,267,74,55,119,1761,64,173
47560410,200,30,1,35.8385426361364,128.750969103647,경상북도 경산시 대동,304,252,87,285,1524,70,307
47558994,100,20,4,35.8398577816398,128.756361616046,경상북도 경산시 조영동,508,172,65,79,2029,63,164
47557637,200,25,2,35.8402433794735,128.756656975568,경상북도 경산시 조영동,558,206,23,72,2070,101,130
47557618,200,28,2,35.8401738381707,128.756716863726,경상북도 경산시 조영동,556,215,19,63,2072,102,125
47556882,200,30,3,35.8399592628338,128.753424133811,경상북도 경산시 조영동,413,86,56,243,1791,100,129
47556577,100,30,3,35.8383798984353,128.754983091078,경상북도 경산시 조영동,302,115,20,19,1855,144,179
47556456,100,29,3,35.8390759800663,128.753461241684,경상북도 경산시 조영동,316,21,32,172,1754,2,224
47556406,70,21,3,35.8408015099694,128.75388325596,경상북도 경산시 조영동,512,146,92,306,1870,145,30
47556393,200,40,2,35.8369375397417,128.752292685289,경상북도 경산시 대동,89,280,51,93,1575,108,136
47556392,200,39,1,35.8393226755748,128.753160894204,경상북도 경산시 조영동,340,45,41,210,1740,39,204
47556374,200,31,2,35.8388614533287,128.753619644237,경상북도 경산시 조영동,295,38,27,147,1758,27,208
47556219,200,30,2,35.8405402920606,128.753542504211,경상북도 경산시 조영동,478,149,93,292,1829,127,65
47556174,200,28,3,35.8379810484763,128.753082894221,경상북도 경산시 대동,191,145,37,110,1678,68,127
47556073,200,26,2,35.840091324207,128.759578183537,경상북도 경산시 압량읍 부적리,740,261,42,116,2309,83,58
47555952,200,27,1,35.8430103122189,128.753706453475,경상북도 경산시 조영동,753,201,240,478,1983,132,209
47555786,100,24,2,35.8374737169342,128.75181633051,경상북도 경산시 대동,163,253,67,153,1552,79,186
47555682,100,29,3,35.8431335643338,128.752658205491,경상북도 경산시 임당동,763,279,248,555,1913,139,245
47555652,500,46,4,35.8400068316197,128.756577056597,경상북도 경산시 조영동,533,196,40,64,2053,87,141
