name,lat,lon,category,url,type
코지커피스탠드,35.83333579397689,128.7408894479705,음식점 > 카페,http://place.map.kakao.com/802679324,카페
트리즈,35.8378588662945,128.752273001318,음식점 > 카페 > 커피전문점,http://place.map.kakao.com/17079134,카페
스타벅스 영남대점,35.8369965348086,128.753072958501,음식점 > 카페 > 커피전문점 > 스타벅스,http://place.map.kakao.com/22088100,카페
브라우니,35.8370043744266,128.75327675582,음식점 > 카페,http://place.map.kakao.com/18784913,카페
온어데일리,35.8367272765721,128.752504853474,음식점 > 카페,http://place.map.kakao.com/226916996,카페
폴바셋 경산임당역DT점,35.83372050770061,128.74070751686165,음식점 > 카페 > 커피전문점 > 폴바셋,http://place.map.kakao.com/630526082,카페
노을풍경,35.844087300155124,128.75518355925416,음식점 > 카페,http://place.map.kakao.com/17776230,카페
스타벅스 경산임당역DT점,35.833758730681055,128.74571245701466,음식점 > 카페 > 커피전문점 > 스타벅스,http://place.map.kakao.com/2051017820,카페
비둘기는멍청해보여,35.8363396723106,128.751833444696,음식점 > 카페,http://place.map.kakao.com/2032457745,카페
투썸플레이스 경산신대점,35.841336514596584,128.7602105118318,음식점 > 카페 > 커피전문점 > 투썸플레이스,http://place.map.kakao.com/958684267,카페
메가MGC커피 영남대점,35.839121135354205,128.75636009196202,음식점 > 카페 > 커피전문점 > 메가MGC커피,http://place.map.kakao.com/1303079876,카페
투썸플레이스 대구영남대점,35.83675004504,128.75335305056643,음식점 > 카페 > 커피전문점 > 투썸플레이스,http://place.map.kakao.com/19632888,카페
카페솜,35.83762528785501,128.75420010053088,음식점 > 카페,http://place.map.kakao.com/108295151,카페
메가MGC커피 경산신대점,35.84158706631479,128.76438505764904,음식점 > 카페 > 커피전문점 > 메가MGC커피,http://place.map.kakao.com/852125391,카페
빽다방 경산신대부적점,35.8435957666943,128.76321213692196,음식점 > 카페 > 커피전문점 > 빽다방,http://place.map.kakao.com/554554500,카페
에맨디,35.8316068073561,128.744225642893,음식점 > 카페,http://place.map.kakao.com/39209234,카페
원피스커피 영남대점,35.8372810695961,128.753088073502,음식점 > 카페,http://place.map.kakao.com/740903314,카페
찬찬농장 직영점,35.8437898374356,128.743680068312,음식점 > 카페 > 다방,http://place.map.kakao.com/1423152829,카페
다놀보드게임카페,35.838325520216,128.75481312517,"가정,생활 > 여가시설 > 보드카페",http://place.map.kakao.com/1064907628,카페
쿠프,35.832475124971,128.743257568845,음식점 > 카페,http://place.map.kakao.com/1772775279,카페
파스쿠찌 대구영남대점,35.8393539035404,128.756772485845,음식점 > 카페 > 커피전문점 > 파스쿠찌,http://place.map.kakao.com/1758380369,카페
카페봄봄 영남대점,35.83715240727695,128.7537536637602,음식점 > 카페 > 커피전문점 > 카페봄봄,http://place.map.kakao.com/19358255,카페
그린보트커피,35.8315383403557,128.744100206864,음식점 > 카페,http://place.map.kakao.com/495771576,카페
카페101,35.8379274836687,128.754239955423,음식점 > 카페,http://place.map.kakao.com/780886631,카페
켄고커피위크,35.83671179312533,128.75196003976868,음식점 > 카페,http://place.map.kakao.com/1976303607,카페
스타벅스 영남대아트센터점,35.831864135938424,128.75329200113293,음식점 > 카페 > 커피전문점 > 스타벅스,http://place.map.kakao.com/25738847,카페
무화과집,35.8437818583227,128.743671039585,음식점 > 카페,http://place.map.kakao.com/1415938398,카페
커피왕 영대점,35.8383899392767,128.755153186981,음식점 > 카페 > 커피전문점,http://place.map.kakao.com/1360787828,카페
카페데로토,35.8352896433537,128.768700868362,음식점 > 카페,http://place.map.kakao.com/982277919,카페
스타벅스 영남대중앙도서관,35.83336499255077,128.75788424354846,음식점 > 카페 > 커피전문점 > 스타벅스,http://place.map.kakao.com/25738842,카페
제주커피&커피덕후,35.8264612625463,128.742121293682,음식점 > 카페 > 커피전문점,http://place.map.kakao.com/100638693,카페
카페 더퍼스트,35.8364068372956,128.7524800977,음식점 > 카페,http://place.map.kakao.com/1641626113,카페
마실커피 영남대점,35.8393005140461,128.753765543646,음식점 > 카페 > 커피전문점 > 마실커피,http://place.map.kakao.com/1485337985,카페
짹슨커피 영대점,35.839158783462935,128.7694541078583,음식점 > 카페,http://place.map.kakao.com/1734936667,카페
마실커피 신대부적점,35.842405765803846,128.76380002670106,음식점 > 카페 > 커피전문점 > 마실커피,http://place.map.kakao.com/660915342,카페
이디야커피 경산신대부적점,35.841152391817,128.764100964012,음식점 > 카페 > 커피전문점 > 이디야커피,http://place.map.kakao.com/1203343778,카페
아틀리에빈 신대부적점,35.83977476460946,128.76292170508154,음식점 > 카페,http://place.map.kakao.com/27538994,카페
카페인중독 경산중방점,35.837721593365174,128.75451651451962,음식점 > 카페 > 커피전문점 > 카페인중독,http://place.map.kakao.com/1374832198,카페
텐퍼센트커피 경산영남대점,35.83869718866196,128.75299529113337,음식점 > 카페 > 커피전문점 > 텐퍼센트커피,http://place.map.kakao.com/368814081,카페
카페풍경,35.8410068651136,128.762780755639,음식점 > 카페,http://place.map.kakao.com/1868861674,카페
와락,35.83809444096482,128.75175251423127,음식점 > 카페,http://place.map.kakao.com/2046648683,카페
라이프힐,35.8394420564495,128.756968100768,음식점 > 카페,http://place.map.kakao.com/138758923,카페
