건물명,주소,주용도,세대수,사용승인일,법정동,lat,lon,노후도
 ,경상북도 경산시 청운1로 68 (조영동),단독주택,0,20040726,조영동,35.8410801195028,128.756481201674,22
 ,경상북도 경산시 조영1길 13 (조영동),단독주택,0,20080630,조영동,35.8389924642133,128.758059887182,18
 ,경상북도 경산시 대학로 336 (조영동),제1종근린생활시설,0,20020621,조영동,35.8393231616019,128.757943901031,24
 ,경상북도 경산시 조영1길 17-4 (조영동),단독주택,0,19911026,조영동,35.8391007955117,128.75842206136,35
 ,경상북도 경산시 조영1길 15 (조영동),단독주택,0,20050726,조영동,35.8389469631026,128.758207289062,21
 ,경상북도 경산시 대학로 334-2 (조영동),제1종근린생활시설,0,19840801,조영동,35.839074304763,128.757639825393,42
 ,경상북도 경산시 조영1길 25 (조영동),제2종근린생활시설,0,19920404,조영동,35.8388699038934,128.759291574601,34
 ,경상북도 경산시 대학로70길 4-8 (조영동),단독주택,0,20141128,조영동,35.839223699212,128.758428869282,12
 ,경상북도 경산시 대학로 334-1 (조영동),단독주택,0,20171214,조영동,35.8391885417727,128.757783227257,9
 ,경상북도 경산시 조영1길 13-3 (조영동),제2종근린생활시설,0,20200709,조영동,35.8390701353262,128.757727714799,6
 ,경상북도 경산시 조영1길 13-6 (조영동),단독주택,0,20181224,조영동,35.8391552632599,128.758259252989,8
 ,경상북도 경산시 대학로70길 4-2 (조영동),제1종근린생활시설,0,19970512,조영동,35.839447157939,128.75837481579,29
 ,경상북도 경산시 대학로70길 4-6 (조영동),단독주택,0,20130131,조영동,35.8392981826253,128.758573165571,13
 ,경상북도 경산시 조영1길 23 (조영동),단독주택,0,20151127,조영동,35.8389087160471,128.759096438466,11
 ,경상북도 경산시 대학로 338 (조영동),제1종근린생활시설,0,19780408,조영동,35.8395164255963,128.758155117472,48
 ,경상북도 경산시 대학로 338 (조영동),제1종근린생활시설,0,20010920,조영동,35.8395164255963,128.758155117472,25
 ,경상북도 경산시 조영1길 17 (조영동),단독주택,0,20140121,조영동,35.8389180546811,128.758557026535,12
 ,경상북도 경산시 대학로70길 4-14 (조영동),단독주택,0,20121114,조영동,35.8390411148447,128.758756290403,14
근린생활시설,경상북도 경산시 대학로 328 (조영동),제2종근린생활시설,0,19990116,조영동,35.8388898618721,128.757145827451,27
 ,경상북도 경산시 대학로 332 (조영동),공동주택,28,20130619,조영동,35.8390676119851,128.757413582095,13
 ,경상북도 경산시 대학로 330 (조영동),제2종근린생활시설,0,20181127,조영동,35.8389621924283,128.757277236935,8
 ,경상북도 경산시 대학로 324 (조영동),제2종근린생활시설,0,20070213,조영동,35.8387618471012,128.75681686487,19
 ,경상북도 경산시 조영1길 5 (조영동),단독주택,0,20200708,조영동,35.8387445068195,128.757152249132,6
 ,경상북도 경산시 대학로 334 (조영동),단독주택,0,20180110,조영동,35.8391824561637,128.757533977956,8
 ,경상북도 경산시 대학로 326 (조영동),제1종근린생활시설,0,19881110,조영동,35.8388334191165,128.756963197311,38
 ,경상북도 경산시 조영1길 3 (조영동),단독주택,0,19961022,조영동,35.8387155660463,128.757017702491,30
 ,경상북도 경산시 대학로 329 (조영동),제2종근린생활시설,0,19870922,조영동,35.8394669225866,128.756949946185,39
 ,경상북도 경산시 대학로 327 (조영동),제2종근린생활시설,0,19921123,조영동,35.8393499291121,128.756785457103,34
 ,경상북도 경산시 대학로 325 (조영동),제2종근린생활시설,0,20201204,조영동,35.8392442645264,128.756567212018,6
 ,경상북도 경산시 대학로67길 3 (조영동),단독주택,0,20151231,조영동,35.8396512760014,128.756901776673,11
 ,경상북도 경산시 대학로67길 3-1 (조영동),단독주택,0,20151231,조영동,35.83955175719,128.756774746825,11
 ,경상북도 경산시 청운로 58-3 (조영동),단독주택,0,20160129,조영동,35.8394807560213,128.756687965726,10
 ,경상북도 경산시 청운로 58-5 (조영동),단독주택,0,20160129,조영동,35.8393928227444,128.756575910877,10
 ,경상북도 경산시 청운로 58-4 (조영동),단독주택,0,20160129,조영동,35.8393189404648,128.756427313405,10
 ,경상북도 경산시 청운로 58-2 (조영동),단독주택,0,20160129,조영동,35.8394046613802,128.756345537909,10
 ,경상북도 경산시 둥지로 2 (조영동),제2종근린생활시설,0,19950524,조영동,35.8393041521642,128.756224574098,31
 ,경상북도 경산시 대학로 323 (조영동),제2종근린생활시설,0,19880827,조영동,35.8391705236303,128.756359631591,38
 ,경상북도 경산시 대학로67길 13-9 (조영동),제1종근린생활시설,0,20051101,조영동,35.8397331597344,128.755701713259,21
 ,경상북도 경산시 둥지로 4 (조영동),제2종근린생활시설,0,20031229,조영동,35.8394302984995,128.756114362388,23
 ,경상북도 경산시 둥지로 4 (조영동),제2종근린생활시설,0,20031229,조영동,35.8394302984995,128.756114362388,23
 ,경상북도 경산시 둥지로 4 (조영동),제2종근린생활시설,0,20031229,조영동,35.8394302984995,128.756114362388,23
 ,경상북도 경산시 둥지로 8 (조영동),제2종근린생활시설,0,20050823,조영동,35.8395984209569,128.755826455629,21
 ,경상북도 경산시 청운로 53 (조영동),제2종근린생활시설,0,20050817,조영동,35.8395164917097,128.755932441328,21
 ,경상북도 경산시 대학로67길 10 (조영동),단독주택,0,20120917,조영동,35.84022799343,128.756630739443,14
 ,경상북도 경산시 청운1로 64 (조영동),단독주택,0,19870722,조영동,35.8408753863329,128.756228341086,39
 ,경상북도 경산시 대학로67길 14-9 (조영동),단독주택,0,20120328,조영동,35.8407608301668,128.756377876886,14
 ,경상북도 경산시 청운1로 62 (조영동),단독주택,0,20170823,조영동,35.8408056234652,128.756099974024,9
 ,경상북도 경산시 청운1로 62-1 (조영동),단독주택,0,20170818,조영동,35.840713875358,128.756199546933,9
 ,경상북도 경산시 대학로67길 14-3 (조영동),단독주택,0,19950204,조영동,35.8406317627023,128.756281071423,31
 ,경상북도 경산시 대학로67길 14-1 (조영동),단독주택,0,20140415,조영동,35.8405416791316,128.75638389006,12
 ,경상북도 경산시 대학로67길 14 (조영동),단독주택,0,19841016,조영동,35.8404974597997,128.756277335366,42
 ,경상북도 경산시 대학로67길 16 (조영동),단독주택,0,20151020,조영동,35.8405633074821,128.756217365146,11
 ,경상북도 경산시 대학로67길 16-1 (조영동),단독주택,0,19841016,조영동,35.8406267333785,128.756125800303,42
 ,경상북도 경산시 대학로67길 18 (조영동),단독주택,0,20140203,조영동,35.8407021837615,128.756013030295,12
 ,경상북도 경산시 대학로67길 17 (조영동),단독주택,0,19930817,조영동,35.8406035491739,128.75588092845,33
 ,경상북도 경산시 대학로67길 15-1 (조영동),단독주택,0,20170125,조영동,35.8405182100985,128.755979757302,9
 ,경상북도 경산시 대학로67길 15 (조영동),단독주택,0,19841016,조영동,35.8404409680802,128.756067144073,42
 ,경상북도 경산시 대학로67길 13 (조영동),단독주택,0,19841016,조영동,35.8403793679816,128.75613860702,42
 ,경상북도 경산시 대학로67길 13-2 (조영동),단독주택,0,19870626,조영동,35.8403098238766,128.756050750967,39
 ,경상북도 경산시 청운1로 58-3 (조영동),단독주택,0,19870910,조영동,35.8404032601258,128.755940480565,39
 ,경상북도 경산시 청운1로 58-1 (조영동),공동주택,0,19880908,조영동,35.8404841349589,128.75584498418,38
 ,경상북도 경산시 청운1로 60 (조영동),단독주택,0,20180809,조영동,35.8405433578419,128.755745026186,8
 ,경상북도 경산시 청운1로 58 (조영동),단독주택,0,20040702,조영동,35.8404331574593,128.755670550617,22
 ,경상북도 경산시 청운1로 58-2 (조영동),단독주택,0,20110922,조영동,35.8403421675566,128.755767594878,15
 ,경상북도 경산시 대학로67길 13-4 (조영동),단독주택,0,20120806,조영동,35.8402316989906,128.755902612044,14
 ,경상북도 경산시 대학로67길 13-6 (조영동),단독주택,0,20141224,조영동,35.8401286499263,128.755838254507,12
 ,경상북도 경산시 청운1로 54-1 (조영동),단독주택,0,20140312,조영동,35.8402378460997,128.755636143292,12
