매물번호,보증금,월세,층,위도,경도,주소,지하철역_거리(m),세탁소_거리(m),카페_거리(m),약국_거리(m),대형마트_거리(m),편의점_거리(m),버스정류장_거리(m),지하철역_도보(분),노후도
47680947,200,40,1,35.8373416662741,128.751157397615,경상북도 경산시 대동,194,305,12,203,1491,113,241,2,14
47680315,200,35,2,35.8385715940321,128.758235413381,경상북도 경산시 조영동,548,343,105,88,2140,126,176,7,10
47678964,200,30,2,35.8380704794718,128.756572093403,경상북도 경산시 조영동,390,232,36,138,1981,125,250,5,14
47678264,300,50,2,35.840142938647,128.753928516271,경상북도 경산시 조영동,441,104,44,237,1841,128,103,6,12
47677441,200,30,3,35.8382375042062,128.75924175123,경상북도 경산시 조영동,615,441,18,168,2217,59,203,8,11
47677268,200,30,2,35.8392954893512,128.758806395796,경상북도 경산시 압량읍 부적리,633,383,141,78,2214,34,84,8,11
47676805,200,30,3,35.8388317018315,128.75313902133,경상북도 경산시 조영동,285,61,19,185,1717,38,212,4,26
47676591,200,40,2,35.8393226755748,128.753160894204,경상북도 경산시 조영동,340,45,39,210,1740,39,204,4,26
47676426,500,45,2,35.8372289660536,128.751736359274,경상북도 경산시 대동,146,279,49,149,1537,107,188,2,19
47676415,150,27,2,35.8401549629342,128.754067782585,경상북도 경산시 조영동,445,99,32,233,1853,133,103,6,24
47676237,100,22,2,35.8395490262595,128.752624371781,경상북도 경산시 조영동,364,99,86,264,1706,45,202,5,25
47676031,200,27,1,35.8391617112148,128.752736367882,경상북도 경산시 조영동,321,81,55,233,1698,63,235,4,26
47674357,100,29,2,35.838989834665,128.752936215772,경상북도 경산시 조영동,302,68,32,209,1707,47,235,4,26
47674323,80,22,2,35.8407889143547,128.752819873854,경상북도 경산시 임당동,502,191,161,350,1785,56,99,6,23
47670229,100,17,3,35.8399191547018,128.75240564293,경상북도 경산시 조영동,407,137,117,304,1707,57,183,5,27
47669823,200,30,3,35.8396585497466,128.756435134109,경상북도 경산시 조영동,495,173,54,74,2027,54,166,6,12
47669787,100,20,1,35.8378143531176,128.751506539883,경상북도 경산시 대동,210,247,37,197,1538,62,226,3,28
47669709,200,30,4,35.8391661800249,128.754954929831,경상북도 경산시 조영동,373,42,86,106,1883,91,233,5,14
47669315,200,35,2,35.8393226755741,128.753160894204,경상북도 경산시 조영동,340,45,39,210,1740,39,204,4,26
47669064,200,32,2,35.8373442163169,128.75145846562,경상북도 경산시 대동,173,285,38,177,1517,105,215,2,19
47667509,100,22,1,35.8419969790893,128.751947577142,경상북도 경산시 임당동,641,291,183,505,1788,75,192,8,24
47667419,70,18,2,35.8365245478869,128.751798777478,경상북도 경산시 대동,99,341,37,141,1520,159,188,1,18
47667313,300,38,3,35.8394648949222,128.753344636342,경상북도 경산시 조영동,357,39,21,207,1761,46,184,4,26
47667142,150,30,3,35.8402130227582,128.754078246785,경상북도 경산시 조영동,451,104,33,239,1856,140,97,6,24
47666860,200,40,3,35.8434105769391,128.754836732304,경상북도 경산시 조영동,813,200,164,456,2092,200,264,10,24
47666767,200,30,3,35.8402527935126,128.755895883513,경상북도 경산시 조영동,520,157,35,131,2007,61,199,6,14
47666700,150,29,2,35.837971403456,128.758915493752,경상북도 경산시 조영동,578,422,30,174,2181,101,231,7,14
47666518,200,34,2,35.838264238299,128.750483351361,경상북도 경산시 대동,308,303,116,302,1472,18,330,4,11
47665569,100,20,2,35.842516156933,128.754451803174,경상북도 경산시 조영동,709,117,167,393,2009,117,159,9,13
47664337,200,30,2,35.8401097306666,128.756300327019,경상북도 경산시 조영동,527,178,57,91,2034,70,164,7,11
47664310,4000,0,3,35.841113024443,128.75324147074,경상북도 경산시 임당동,539,180,155,361,1836,92,56,7,25
47664127,200,32,2,35.8366179531035,128.751684190437,경상북도 경산시 대동,112,337,23,149,1513,166,195,1,11
47663963,150,33,3,35.8410454705284,128.755633581429,경상북도 경산시 조영동,586,78,56,200,2023,27,151,7,11
47663896,100,24,3,35.8396372080342,128.753145793831,경상북도 경산시 조영동,375,65,43,233,1753,70,172,5,27
47663469,200,33,4,35.8386866609938,128.757749354472,경상북도 경산시 조영동,516,298,124,73,2102,138,182,6,15
47663218,200,25,4,35.8410480446987,128.75739895464,경상북도 경산시 압량읍 부적리,670,214,92,124,2167,33,104,8,19
47662984,100,30,2,35.8410914635926,128.752310471508,경상북도 경산시 임당동,538,242,213,404,1762,15,140,7,25
47656038,100,25,3,35.8390693619185,128.755179556455,경상북도 경산시 조영동,374,65,72,96,1898,86,252,5,18
47655983,100,23,3,35.840679437334,128.756841563018,경상북도 경산시 조영동,607,186,49,104,2104,66,121,8,15
47654554,100,23,2,35.8428325198086,128.753811441547,경상북도 경산시 조영동,734,180,227,457,1980,119,188,9,24
47653151,100,20,2,35.8418802910115,128.750599454567,경상북도 경산시 임당동,655,397,87,572,1681,62,100,8,25
47652660,150,25,3,35.84105300903321,128.75256347656295,경상북도 경산시 임당동,532,227,198,387,1780,31,117,7,25
47652651,200,26,2,35.8391053565248,128.751156772356,경상북도 경산시 대동,350,224,126,319,1566,97,327,4,15
47652509,150,30,1,35.8409198102764,128.753495524023,경상북도 경산시 조영동,519,168,124,332,1845,114,37,6,26
47649938,200,33,2,35.8372434676927,128.752385623607,경상북도 경산시 대동,116,246,32,96,1593,105,130,1,37
47649148,100,32,2,35.8393620622795,128.752425370001,경상북도 경산시 조영동,345,111,89,268,1681,28,229,4,24
47649077,100,23,1,35.8396364764127,128.755997171813,경상북도 경산시 조영동,469,134,59,113,1989,31,203,6,31
47648831,200,32,3,35.8392882215571,128.756432833482,경상북도 경산시 조영동,465,170,14,92,2012,14,188,6,10
47648795,150,27,4,35.8398180114622,128.756641064943,경상북도 경산시 조영동,521,195,53,54,2051,75,142,7,16
47645093,150,30,2,35.8393256084919,128.75253988499364,경상북도 경산시 조영동,340,100,80,257,1689,39,227,4,27
47645078,200,40,1,35.8395787535851,128.752859755329,경상북도 경산시 조영동,367,82,66,249,1727,67,188,5,26
47644966,100,23,4,35.840786196475506,128.75717593033517,경상북도 경산시 압량읍 부적리,635,206,65,110,2137,35,99,8,15
47644943,100,27,3,35.839391954056,128.75367459498466,경상북도 경산시 조영동,354,21,13,180,1785,42,187,4,25
47644927,100,25,3,35.839244850212005,128.75263992343514,경상북도 경산시 조영동,331,90,68,245,1694,51,231,4,27
47644844,100,23,1,35.8413136850578,128.751401765899,경상북도 경산시 임당동,575,309,182,476,1705,85,194,7,24
47644640,200,35,2,35.8405597781913,128.755774494495,경상북도 경산시 조영동,544,132,2,157,2011,34,176,7,8
47644135,500,45,4,35.8395670517369,128.756542236264,경상북도 경산시 조영동,494,181,46,68,2032,46,162,6,10
47643669,100,24,3,35.8396372080349,128.75314579383,경상북도 경산시 조영동,375,65,43,233,1753,70,172,5,27
47643405,200,30,2,35.8408042922797,128.756110901091,경상북도 경산시 조영동,583,127,42,151,2050,26,188,7,9
47643352,200,26,1,35.8399592628338,128.753424133811,경상북도 경산시 조영동,413,86,56,243,1791,100,129,5,24
47643348,70,21,2,35.8413709870074,128.751668195445,경상북도 경산시 임당동,576,299,195,465,1729,68,200,7,26
47643316,200,25,2,35.8415050540336,128.758356278472,경상북도 경산시 압량읍 부적리,764,290,92,145,2267,36,60,10,14
47643296,200,35,3,35.8384686912828,128.757748528632,경상북도 경산시 조영동,504,305,119,97,2095,149,206,6,10
47643182,100,25,1,35.8395490262588,128.752624371781,경상북도 경산시 조영동,364,99,86,264,1706,45,202,5,25
47643161,200,30,3,35.8400713261697,128.759110051194,경상북도 경산시 압량읍 부적리,704,397,78,75,2268,71,16,9,10
47643149,200,30,1,35.8398712495728,128.75211906128,경상북도 경산시 조영동,405,156,139,322,1681,46,206,5,27
47643100,150,28,3,35.8395699583325,128.756281785167,경상북도 경산시 조영동,479,158,43,90,2010,43,183,6,13
